,reduced,Emotion
68,"The Ministry of Education, in collaboration with the First Nations Education Steering Committee (FNESC), is implementing a new graduation requirement.Expected to take effect in the 2023-24 school year, this requirement will ensure all secondary students complete Indigenous-focused coursework before they graduate from B.C.’s K-12 education system.“We are deeply committed to lasting and meaningful reconciliation in B.C. – guided by the United Nations Declaration on the Rights of Indigenous Peoples while working co-operatively with Indigenous Peoples across the province to address the knowledge gaps in our K-12 curriculum,” said Jennifer Whiteside, Minister of Education.” This new requirement will deepen students’ understanding of the experiences, cultures, histories and knowledges of Indigenous Peoples. This will help us to understand the truths of our shared history, while also building knowledge so all students feel a sense of responsibility for our collective future.”Tyrone McNeil, president, FNESC, said: “For many years, FNESC, First Nations and our partners in the public education system have advocated for this important change to the B.C. graduation program. Building awareness and understanding of First Peoples’ perspectives, cultures and histories among all B.C. students will serve as an important step toward reconciliation and an effective strategy to combat racism within the province ",approval
69,"WASHINGTON — The 2020 census undercounted Black, Latino and Indigenous populations while over-counting white and Asian people, according to estimates from a report the U.S. Census Bureau released Thursday.The findings continue a long-standing struggle for the bureau with counting underrepresented groups while over-counting non-Hispanic white people. Many of them live in hard-to-reach areas, such as rural communities and areas with limited access to the internet.The data released Thursday was the result of two internal analyses that collected data through a sample survey of demographic records. The findings suggested the 2020 census missed Hispanics and Latinos at more than three times the rate in 2010 (an undercount rate of roughly 5 percent, as opposed to 1.5 percent in 2010).The Black population was undercounted at a rate of 3.3 percent, up from 2.1 percent in 2010. Indigenous people living on reservations were undercounted at a rate of 5.6 percent, higher than the 2010 rate of 4.9 percent. Indigenous people not living on reservations were not miscounted.Due to the pandemic, in-person door-knocking operations were suspended in March 2020 and only restarted in the late summer. Inaccurate or improperly processed data means many vulnerable groups could still be left out, altering the resources these ",neutral
70,"This advertisement has not loaded yet, but your article continues below.Ministers criticize Université Laval job posting as excluding white men The posting said that only candidates who self-identify as women, Indigenous people, people with disabilities or visible minorities would be selected. Photo by Graham Hughes / The Canadian Press filesArticle content QUEBEC — Several ministers in the Coalition Avenir Québec government expressed outrage on Wednesday at a job posting at Université Laval that they felt was extreme and even discriminatory because it excluded white men. We apologize, but this video has failed to load.tap here to see other videos from our team. Try refreshing your browser, or Ministers criticize Université Laval job posting as excluding white men Back to video The posting in question, published by the university in September for a Canada Research Chair in the biology department, was first criticized by comedian and former Parti Québécois leadership candidate Guy Nantel on social media.Advertisement 2 Story continues below This advertisement has not loaded yet, but your article continues below.Article content Question aux dirigeants de @universitelaval : quand un jeune homme blanc non-handicapé fait une demande pour étudier chez vous, est-ce que vous l’avisez en amont qu’il sera exclu de ",neutral
71,"(CNN) Marvel is changing the name and design of a character that debuted in a recent issue of the comic miniseries ""King Conan"" after it was criticized for its portrayal of an Indigenous woman.The third issue of "" King Conan ,"" published on February 16, finds its protagonist stranded on a island with a scantily clad princess named Matoaka. The princess, as it turns out, has a dark past: She hails from ""a land far to the west,"" and once fell in love with a man who tried to colonize her people. When the man ransacked her home, she killed him, but her father nonetheless exiled her to the island, where she's now cursed to lure other would-be colonizers away from her native land.To people in Indian Country, Matoaka's name and backstory were a clear reference to the real-life Pocahontas , who privately went by the same name.For centuries, Pocahantas has been romanticized and mythologized as a woman who defied her father to save the English colonist John Smith from execution. In reality, she was around 11 or 12 when she first met Smith, and historians have disputed Smith's claims that she rescued him at all. Later, she was kidnapped ",neutral
72,"Since time immemorial, American Indians, Alaska Natives, and Native Hawaiians have built vibrant and diverse cultures — safeguarding land, language, spirit, knowledge, and tradition across the generations. On Indigenous Peoples’ Day, our Nation celebrates the invaluable contributions and resilience of Indigenous peoples, recognizes their inherent sovereignty, and commits to honoring the Federal Government’s trust and treaty obligations to Tribal Nations.Our country was conceived on a promise of equality and opportunity for all people — a promise that, despite the extraordinary progress we have made through the years, we have never fully lived up to. That is especially true when it comes to upholding the rights and dignity of the Indigenous people who were here long before colonization of the Americas began. For generations, Federal policies systematically sought to assimilate and displace Native people and eradicate Native cultures. Today, we recognize Indigenous peoples’ resilience and strength as well as the immeasurable positive impact that they have made on every aspect of American society. We also recommit to supporting a new, brighter future of promise and equity for Tribal Nations — a future grounded in Tribal sovereignty and respect for the human rights of Indigenous people in the Americas and around the ",pride
73,"By David Kaimowitz, Senior Forestry Officer, Food and Agriculture Organization of the United Nations, and Manager, Forest and Farm FacilityAs leaders from around the globe gather for the 2021 United Nations Climate Change Conference (COP 26), it is vital that they recognize two important facts. The first is that we cannot reach climate goals without protecting and sustainably managing the carbon-absorbing forests that cover a third of the Earth’s land surface.The second is that we cannot protect forests without Indigenous Peoples. We know that forests do better when indigenous land rights are respected, with lower deforestation rates and carbon emissions. Currently, Indigenous Peoples and local communities manage at least 24% of the total above-ground carbon stored in the world’s tropical forests. Without them, we cannot win the race to save the planet.The good news is that there has been a recent sea-change towards recognition of the role that Indigenous Peoples must play for a healthier planet and the achievement of many of the SDGs, including Goal 13 (climate action) and Goal 15 (life on land). The deeply intertwined and rapidly worsening climate and biodiversity crises have started to convince major philanthropists of the need to take action and put Indigenous ",realization
74,"The Articulation of the Indigenous Peoples of Brazil (Apib), together with all its grassroots organisations, mobilised the largest delegation of Brazilian indigenous leaders in the history of the Climate Conference (CoP26) to discuss solutions to the climate crisis.More than 40 representatives of the indigenous peoples will be in Glasgow, Scotland, between October 31 and November 12 with the proposal to occupy the Conference and alert the world about the need to demarcate the indigenous lands and protect the indigenous peoples for the future of the planet.An excerpt from Apib’s message to world leaders, businessmen and civil society organisations attending CoP26, says:“We stand against false solutions based on technological innovations designed from the same developmental and productivist logic that causes climate change. We criticise solutions that do not recognise indigenous peoples and local communities as central to the defence of forests, the reduction of deforestation and fires and as essential to ensure that we reach the stated goal of keeping global warming below 1.5 degrees Celsius.”The Brazilian indigenous delegation at the conference will denounce the ongoing indigenous genocide and ecocide that is underway in Brazil, aggravated by the novel coronavirus disease (COVID-19) pandemic and the Federal Government’s death project.On the international ",neutral
75,"The lead author of a Rainforest Foundation Norway report showing how little funding goes to Indigenous peoples and local communities (IPLCs) for tenure and forest management writes that the reality is even worse than the “less than 1%” soundbite often shared.Over 10 years, $2.7 billion was given to support IPLCs’ tenure rights and forest management, which equals 0.74% of total development aid allocated to address climate change.Researchers further discovered that 17% of the funding to IPLC tenure and management went to projects that specifically included an IPLC organization, thus representing 0.13% of aid designated to climate change.This post is a commentary. The views expressed are those of the author, not necessarily Mongabay.Indigenous peoples and local communities (IPLCs) received an unprecedented level of attention, recognition and support at this year’s United Nations climate summit, known as COP26. This was the result of many years of consistent and strategic campaigning by IPLC groups and their allies, in combination with growing scientific evidence that shows how their custodianship of land and forests is an indispensable solution to climate change.In just about any panel or session I attended at COP26, one would hear the same soundbite: “Indigenous peoples receive less than 1% of climate ",realization
76,"Leaders of more than 100 nations, including Brazil, China and the United States, vowed on Monday, November 2, at climate talks in Glasgow to end deforestation by 2030. Brazil, where stretches of the Amazon rainforest have been cut down, was among the signatories. The countries who have signed the pledge, including Canada, Brazil, Russia, China, Indonesia, the Democratic Republic of the Congo, the UK and the US, cover around 85 per cent of the world's forests.📢 NEWS: At COP26, over 100 leaders have committed to halt and reverse forest loss and land degradation by 2030.""To have any chance of keeping below 1.5°C of global warming, we must halt deforestation"" -- Sir David AttenboroughLearn more:👉 https://t.co/KEQU6kbnaS#COP26 pic.twitter.com/uTSR63qw7L — COP26 (@COP26) November 2, 2021As part of this goal, at least USD 1.7bn of funding will be given directly to indigenous peoples and local communities (IPLCs) in recognition of their key role in protecting the planet's lands and forests, reported The Guardian. The governments of the US, Germany, Norway, Netherlands and UK are leading the funding pledge. Over 30 financial firms, including Aviva, Schroders and Axa, also pledged to stop investing in companies responsible for deforestation.'Another Decade of Deforestation'The pledge will demand ""transformative ",approval
77,"The case could set an international precedent for indigenous people to control resources on their land, which they say is critical to climate actionBy Chloé FarandA Mayan community in Guatemala is taking the government to court in a case that could recognise the right of indigenous peoples to control oil, gas and mining resources on their land.The Q’eqchi’ community of Agua Caliente is demanding the Inter-American Court of Human Rights voids the permits of an open-pit nickel mine, in the town of El Estor, for which it says it was never consulted.Under international human rights standards, states have the obligation to consult indigenous communities and obtain their free, prior and informed consent over projects affecting their lands and resources.But indigenous communities in Latin America have denounced constant violations of this right.The case is one of a growing number of lawsuits brought by indigenous peoples to compel governments in the region to respect their right to veto extractive projects affecting them.Lawyers in this suit, which opened last week, are going a step further. They argue that the court should recognise the rights of indigenous people to permanent sovereignty over their natural resources as a principle of public international law.“We believe consultation ",neutral
78,"Despite being the custodians of 80 percent of the world’s biodiversity and holders of a cocktail of unique traditions, cultures, knowledge systems and languages, the over 476 million indigenous people globally have faced systemic discrimination, violation of their rights, plunder of their natural resources and invasion of their territories.From The Aborigines in Australia, Mayas in Guatemala, Maasais in Kenya and the Tuareg in Mali, indigenous peoples remain among the most vulnerable and disadvantaged groups, and their life’s expectancy is 20 years lower than that of their non-indigenous counterparts. Although constituting about 5 percent of the world’s population, they make up 15 percent of its extreme poverty.Yet, even with such adversities they have played a pivotal role in understanding and mitigating the devastating impacts of modern day calamities like climate change, providing valuable lessons on how to address food scarcity and protecting the planet. Modern science has borrowed heavily from them.As we mark the International Day of the World's Indigenous Peoples, the international community should coalesce around the philosophy of championing for a more equitable and sustainable world that embraces inclusive participation, respect for the rights of vulnerable minorities and equal opportunities for all.To protect the world’s heritage, diversity of languages ",approval
79,"Indigenous people across the United States marked Monday with celebrations of their heritage, education campaigns and a push for the Biden administration to make good on its word.The federal holiday created decades ago to recognise Christopher Columbus' sighting in 1492 of what came to be known as the Americas increasingly has been rebranded as Indigenous Peoples Day.For Michaela Pavlat, cultural interpreter at the National Museum of the American Indian in Washington, the day is one of celebration, reflection and recognition that Indigenous communities are fighting for land rights, for the U.S. government to uphold treaties, and for visibility and understanding.“As long as you're on Native land and stolen land, it's Indigenous Peoples Day,” said Pavlat, who is Sault Ste. Marie Band of Chippewa Indians (Anishinaabe). “We have a lot of movement and a lot of issues we're facing in our communities, and you can have that conversation every day.”EVENTS THIS YEARMore than a dozen protesters linked arms and sat along the White House fence line Monday to call on the Biden administration to do more to combat climate change and ban fossil fuels. Others cheered and chanted in support from across the street as police blocked off the area with ",joy
80,"The Apoqnmatulti’k project combines Indigenous knowledge, Western science and local knowledge holders to gather information about three important marine species in two ecosystems in Nova Scotia, Canada.The project comes at a time of increased urgency over management of marine species, as many fish stocks are on the decline, while access to lucrative fisheries has sparked conflict.Project partners say the project’s collaborative approach will provide information that could help direct stewardship and conservation of species that are important to many communities.As important as that new data is, project participants say the greatest insight of the project may be that forging the trusting relationships required for collaborative research takes time, which doesn’t always correspond to standard academic deadlines.COLCHESTER COUNTY, Canada — Standing on the snow-covered banks of the Shubenacadie River in Canada’s eastern province, Nova Scotia, Alanna Sylbiloy tosses a wire trap into the icy water flowing past, in search of a small fish known as a tomcod.Atlantic tomcod (Microgadus tomcod) — or punamu in the language of the Mi’kmaq, the Indigenous people of the region — are an unassuming fish. They’re an indifferent swimmer, 15 centimeters (6 inches) long at most, and sometimes white, appropriate for a species also called “frostfish” ",realization
81,"As world leaders inside the Cop26 conference centre in Glasgow boasted about pledges to slash greenhouse gas emissions and end deforestation, indigenous delegates gathered across the river Clyde to commemorate activists killed for trying to protect the planet from corporate greed and government inaction.At least 1,005 environmental and land rights defenders have been murdered since the Paris accords were signed six years ago, according to the international non-profit Global Witness. One in three of those killed were indigenous people.The dead include Berta Cáceres, winner of the prestigious Goldman prize for environmental defenders, who was shot dead at her home in Honduras in March 2016 for opposing the construction of an internationally financed dam on a river considered sacred by her Lenca people.As the names of the murdered defenders were projected on a large outdoor screen, indigenous activists from Mexico, Guatemala, Ecuador and the Philippines implored political leaders to listen to their struggles.“The Cop is a big business, a continuation of colonialism where people come not to listen to us, but to make money from our land and natural resources,” said Ita Mendoza, 46, an indigenous land defender from the Mixteca region of Oaxaca in southern Mexico, attending Cop for the ",neutral
82,"By the authority vested in me as President by the Constitution and the laws of the United States of America, I hereby order as follows:Section 1. Policy. The safety and well-being of all Native Americans is a top priority for my Administration. My Administration will work hand in hand with Tribal Nations and Tribal partners to build safe and healthy Tribal communities and to support comprehensive law enforcement, prevention, intervention, and support services.Generations of Native Americans have experienced violence or mourned a missing or murdered family member or loved one, and the lasting impacts of such tragedies are felt throughout the country. Native Americans face unacceptably high levels of violence, and are victims of violent crime at a rate much higher than the national average. Native American women, in particular, are disproportionately the victims of sexual and gender-based violence, including intimate partner homicide. Research shows that approximately half of Native American women have experienced sexual violence and that approximately half have experienced physical violence by an intimate partner. LGBTQ+ Native Americans and people who identify as “Two-Spirit” people within Tribal communities are also often the targets of violence. And the vast majority of Native American survivors report being victimized by ",approval
83,"Members of the Congress of Indigenous Organizations of the Amazon River Basin (COICA) at a meeting in 2019. COICA is pushing for greater protections for the Amazon rainforest at a major biodiversity summit this week. UN Climate ChangeIndigenous voices on the environment are finally being heard as Marseille hosts a global biodiversity summit, with a call to protect 80 percent of the Amazon, as well as a “counter conference” highlighting the conservation movement’s historic violation of people’s rights.For the first time in its seven-decade history, the International Union for Conservation of Nature (IUCN) is including Indigenous peoples as full voting members in their own right, rather than under the NGO category. Dozens of Indigenous meetings are happening at the summit — which occurs every four years — with representatives from 23 organizations.Greater inclusion of Indigenous representatives comes as the European “fortress conservation” model, which resulted in vast human rights abuses and an estimated 20 million people displaced from their homelands worldwide since the 19th century, is increasingly being challenged.Historically, the global conservation movement was based on the idea that protected areas flourish free from human disturbance, but a growing body of evidence shows that Indigenous communities are the best at ",approval
84,"I’ve been seeking out and sharing the stories of oppression, trauma and brutality that my people continue to endure.I shoot up from the bed in my hotel room, my heart pounding so hard I can hear it echoing outside of my body. It takes me a few seconds to realise I’m not dying, that it’s the recurrent nightmare I have been having for two and a half years, the details of which I don’t always remember. I rush to the toilet and splash water on my face, take a few slow, deep breaths to calm down.This is the norm for me when I’m out reporting on stories of Indigenous Peoples. It’s gotten to the point where I must carry a bottle of prescription sleeping pills to help in case I’m so wound up by adrenaline and stress that I cannot fall asleep. Sometimes, I don’t sleep for days when on assignment, distressed by police intimidation, fearing that the person who sent me a death threat might follow through with it.Each time I go out, it feels like I’m headed into a war zone. A war of oppression, trauma and brutality against those whose stories I’ve been fighting to bring to ",fear
85,"At least $1.7bn of funding will be given directly to indigenous peoples and local communities (IPLCs) in recognition of their key role in protecting the planet’s lands and forests, it will be announced at Cop26 today.The governments of the UK, US, Germany, Norway and the Netherlands are leading the $1.7bn (£1.25bn) funding pledge, which is being announced as part of ambitious global efforts to reverse forest loss and land degradation by 2030, with campaigners cautiously hopeful that this conference of the parties (Cop) could be the first to properly champion indigenous peoples’ rights.Tuntiak Katan, a leader of Ecuador’s indigenous Shuar people who serves as general coordinator of the Global Alliance of Territorial Communities, said: “We are happy with the financing announcement, but we will be watching for concrete measures that will reveal whether the intent is to transform a system that has directed less than 1% of climate funding to indigenous and local communities. What matters is what happens next.“This Cop is interesting and unprecedented,” he added. “After attending these climate events for years, this one is different. The UK has put tremendous effort into raising our visibility at this Cop.“But the UK is now at a crossroads: they can ",optimism
86,"The Tikuna, Cocama and Yagua peoples in southern Colombia live on a two-pronged sustainable food system that involves artisanal fishing and communal planting synchronized with the different flooding seasons.The food systems have allowed the 22 communities in the area to live sustainably without damaging the forest’s extremely high rates of biodiversity, according to a report from the U.N.’s Food and Agriculture Organization (FAO).The communities have faced some challenges in recent decades due to outside pressures to commercialize their activities, raising doubts about how to maintain sustainable practices.This article is part of an eight-part series showcasing sustainable food systems covered in the most comprehensive report to date of the diets and food production practices of Indigenous peoples and local communities (IPLCs).At the very southern tip of Colombia, Indigenous communities practice a sustainable food system that involves artisanal fishing and rotating crop structures within cycles of flooding periods. This has allowed them to live sustainably in an extremely biodiverse part of the Amazon that has remained largely untouched by commercial agriculture.The Tikuna, Cocama and Yagua peoples of Puerto Nariño use handmade arrows, hooks and spurs to practice artisanal fishing in local rivers while also growing cassava, pineapple, corn, rice and chestnuts on ",confusion
87,"Catholic Church on Friday ""unequivocally"" aplogised to Canada's indigenous people for about a century of abuse at church-run residential schools which were set up by government to assimilate indigenous children into mainstream. However, indigenous leaders are still waiting for mea culpa from the pope himself.""We, the Catholic Bishops of Canada, express our profound remorse and apologize unequivocally,"" read a statement, in which they said they were ""fully committed"" to reconciliation.The issue of abuses in church-run schools in Canada hit international headlines after discoveries of about 1200 unmarked graves at three sites where indigenous children were forced to attend the schoolsIn total, some 150,000 Indian, Metis and Inuit children were enrolled from the late 1800s to the 1990s in 139 of the residential schools across Canada, spending months or years isolated from the families.Also Read | At least 200 indigenous children went missing or died after entering a hospital in QuebecIt also comes less than a week before Canadians mark the first National Day for Truth and Reconciliation on September 30.The solemn commemoration for the thousands of indigenous children who died or went missing from the schools was set by Canadian Prime Minister Justin Trudeau, who said in June that Canadians ",sadness
88,"New Delhi: In a gruesome discovery last week, a burial site with the remains of 215 unidentified children was found in Canada on the grounds of what used to be one of the country’s biggest residential schools, Kamloops Indian Residential School.The residential school system, which operated from the 1880s to the late 1990s, was set up by the Canadian government and administered by churches to assimilate indigenous children into Canadian society.As the country continues to grapple with the discovery, indigenous leaders have raised calls to excavate school burial sites across Canada.“All these families have no idea what happened to them (children), they would want closure, questions answered and a thorough search,” Federation of Sovereign Indigenous Nations (FSIN) Chief Bobby Cameron, said in an interview.Prime Minister Justin Trudeau Monday expressed grief over the situation and said that excavating more sites “is an important part of discovering the truth”.Meanwhile, Minister of Crown-Indigenous Relations Carolyn Bennet recently announced a 24×7 hotline to provide support to former students of residential schools and those affected.A National Indian Residential School Crisis Line is available to provide support to former residential school students and those affected. You can access emotional and crisis referral services by calling the ",sadness
89,"Last week, the remains of over 215 children were found at a former residential school in Canada’s British Columbia. This has prompted Indigenous groups to call for a nationwide search for such mass graves.Residential schools that operated from around the 1880s onwards were set up by Canada’s government and were run by churches with the goal of assimilation of Indigenous children, in order to eliminate the cultural differences that the missionaries and European settlers saw between themselves and the Indigenous Peoples, who comprise about five percent of Canada’s population currently.Newsletter | Click to get the day’s best explainers in your inboxSo what is happening?On May 27, the Tk’emlups te Secwepemc First Nation community said that with the help of a ground penetrating radar specialist, they were able to locate the remains of 215 children at the Kamloops Indian Residential school in Canada’s British Columbia. The finding has sparked outrage, prompting demands that a nationwide search be made for such mass graves.Canada’s Truth and Reconciliation Commission (TRC) has concluded that such Residential Schools were “a systematic, government- sponsored attempt to destroy Aboriginal cultures and languages and to assimilate Aboriginal peoples so that they no longer existed as distinct peoples.”TRC has also ",curiosity
90,"Remains of 215 Indigenous children were found at a former residential school in the province of British Columbia this week.Indigenous people across Canada are grappling with the discovery of the remains of more than 200 Indigenous children, including some as young as three, at the site of a former residential school in the western province of British Columbia this week.Tk’emlúps te Secwépemc First Nation chief Rosanne Casimir announced (PDF) on Thursday that the remains of 215 children were found on the grounds of the Kamloops Indian Residential School, saying “an unthinkable loss that was spoken about but never documented” had been confirmed.“To our knowledge, these missing children are undocumented deaths,” Casimir said.“Some were as young as three years old. We sought out a way to confirm that knowing out of deepest respect and love for those lost children and their families, understanding that Tk’emlúps te Secwépemc is the final resting place of these children.”The discovery of the mass grave has spurred “a collective pain and trauma” for Indigenous communities across Canada, said Danielle Morrison, an Anishinaabe lawyer. “Currently there [are] fires being lit, pipes are being lit, and ceremonies being held to honour all of those lost lives of those ",grief
91,"Photo: ShutterstockWhen COVID-19 hit, Indigenous peoples feared for the lives of their elders and the survival of their cultures. Despite lockdowns, there seemed to be a surge in territorial invasions, contributing to the ensuing spread of the virus in their remote communities. Many were without water, sanitation and days away from the closest health clinics. Indigenous leaders called for help to mobilize food, water, soap, PPE, thermometers, and tests. Surprisingly, some of the most desperate stories were coming from Indigenous communities that, prior to the pandemic, had in many cases fared better economically, given their links with tourism, external markets, and informal urban employment. Relief efforts were also difficult. The rollout of emergency response programs often indirectly excluded Indigenous Peoples through eligibility requirements, such as electricity bills, and delivery mechanisms, such as urban grocery stores.In the midst of this crisis, Indigenous Peoples turned inwards to find resilience. As stories of COVID spreading through their communities began to reach global headlines, so too emerged accounts of Indigenous-led health brigades. These brigades, alongside traditional healers, became among the primary and in many cases the only source of relief for many Indigenous communities. As one quote read: “More than vulnerability, we Indigenous peoples ",surprise
92,"Down To Earth speaks to Christian Wacker, president, International Society of Olympic Historians, about indigenous people at the Olympics(Left) Tom Longboat, an Iroquois long distance runner who represented Canada at the beginning of the last century. Patty Mills (Right), an NBA star, is Aboriginal Australian. He led the Australian contingent this year at Tokyo. Photo: Wikimedia CommonsThe 2020 Olympic Games ended in Tokyo, Japan, in early August. Though they played in empty stadiums, athletes nevertheless put up marvellous displays of power, beauty and the spirit of sports. Sports teach us a lot about ourselves. But what role do they play in the lives of the world’s indigenous communities?Do indigenous people make better sportspersons? Certainly, India’s Olympic squad has always had several members from Adivasi areas, with many bringing laurels for the country. At the global level too, the performance of Cathy Freeman in the 2000 Sydney Olympics is remembered to this day. Yet, why are there exclusive events like the World Indigenous Games?To get answers to these questions, Down To Earth spoke to Christian Wacker, the president of the ISOH, The international Society of Olympic Historians. Edited excerpts from the interview:Rajat Ghai: Is there a difference in the outlook of ",neutral
93,"- Organizations representing hundreds of thousands of Indigenous people in South America make public appeal for action- Fate of unique uncontacted tribe now at a “tipping point” between survival and extermination- Paraguay’s government has stood by and watched for years as illegal deforestation threatens the group- Urgent call for the Inter-American Commission on Human Rights and the United Nations to interveneLeading Indigenous organizations from across South America have made an unprecedented public appeal for urgent action to prevent the genocide of one of the most threatened uncontacted tribes in the world.Uncontacted members of Paraguay’s Ayoreo tribe are the last uncontacted Indigenous people in South America outside the Amazon.Uncontacted Ayoreo on the day they were forced out of the forest, 2004. © GAT/SurvivalVast swathes of the once-extensive Chaco forest have been cut down all around them, so the Ayoreo now live in an ever-shrinking island of forest surrounded by a sea of destruction. The area suffers the fastest rate of deforestation in the world.Although contacted members of the tribe submitted a formal land claim to the authorities in 1993, only some parcels of land have been returned to them (following lengthy battles). Most of the Ayoreo’s ancestral forest remains in private ",neutral
94,"While the COVID-19 pandemic has exposed inequalities faced by the world’s indigenous people, such as poor access to healthcare, it has also led to greater understanding of their priorities, which include social cohesion and protecting the planet.That’s the opinion of Ghazali Ohorella, an international lawyer and indigenous rights advocate who is an Alifuru from Maluku, which is part of Indonesia.Dianne Penn spoke to Mr. Ohorella ahead of the annual UN commemoration of the International Day of the World’s Indigenous Peoples on 9 August.He expressed why global dialogue on post-pandemic recovery, including to address climate change, biodiversity loss and other challenges, could see indigenous people finally sitting “at the table” instead of being “on the menu”.But first Mr. Ohorella explained where he is from. ",neutral
95,"Brazil’s highest court has upheld a ban on missionaries entering reserves that are home to isolated and recently contacted Indigenous people during the pandemic.The decision comes in response to a lawsuit filed by Indigenous organizations against a law passed in July 2020 that allowed missionaries to remain inside these reserves despite the pandemic, in violation of Brazil’s official policy in place since 1987.According to Indigenous organizations, it’s crucial to reaffirm the non-contact policy under the administration of President Jair Bolsonaro that has pushed to “integrate” Indigenous people into society, and has been cozy with the evangelical movement.Besides the risk of disease spread, the presence of missionaries in these reserves undermines traditional cultures and social cohesion, and compels these nomadic communities to settle down, making the land more vulnerable to invasions by illegal ranchers and loggers, activists say.Brazil’s highest court has upheld a ban on missionary activity inside reserves that are home to isolated or recently contacted Indigenous people, in a bid to protect the communities against COVID-19.Although the country’s official indigenist policy toward these groups since 1987 has been to not engage in any contact, regardless of whether there’s a pandemic, a federal law passed in July 2020 allows religious ",neutral
96,"Promotion of net-zero climate targets may alienate tribals from their land when science tells us that there is simply not enough landThe impacts of climate change have become tangible, and polluters across the world can no longer just pretend to care. So they have come up with yet another pledge (in a long list of unfulfilled pledges): The ‘net-zero’ goal, which has all the potential to worsen the ongoing climate injustices faced by the marginalised indigenous communities.Net-zero is about balancing total emitted greenhouse gases (GHG) with total GHG removals from the atmosphere (negative emissions) over a specified time. It makes sense as a scientific concept, but since carbon-capture technologies remain unproven, most of the ‘netting’ will rely on land-based removal and storage of carbon dioxide.A new report by Oxfam, a confederation of 20 charitable organisations focusing on the alleviation of global poverty, on net-zero has warned how these poorly defined climate targets can end up relying on vast swathes of land to capture carbon emissions, allowing the biggest emitters to continue business as usual and distracting us from demanding real action from them, which is to ask for significant and rapid cuts in their own emissions.The report also warned that ",neutral
97,"Today is National Close the Gap Day, a day to reflect on the gap in health and wellbeing outcomes between Aboriginal and Torres Strait Islander people and other Australians.All of us can contribute to closing the gap by working together to recognise and address the factors behind the health gap.The Morrison Government continues to take strong and effective action towards achieving parity in health outcomes. In the past year, we have announced new commitments totalling more than $1.1 billion for Aboriginal and Torres Strait Islander health, targeted to priority areas including birthweight, early childhood, aged care and mental health.To continue to improve the health and wellbeing of Indigenous communities, the Morrison Government will on Friday open a $140 million major capital works program for Aboriginal Community Controlled Health Services (ACCHS) to build, buy or renovate health clinics and staff housing.A key part of the Government’s $254 million Closing the Gap health infrastructure measure announced in August 2021, the funding will deliver up to 120 projects, including new health clinics, housing, and major refurbishments.ACCHS are operated by and for Aboriginal and Torres Strait Islander communities, delivering comprehensive and culturally appropriate primary health care services.Minister for Health, Greg Hunt, said the grants ",approval
98,"The Seattle City Council voted 7-0 on Tuesday to solidify Indigenous Peoples Day and Juneteenth as city holidays beginning this year, approving several actions formalizing council efforts that started in December. Tuesday’s bill expanded recent efforts to establish Indigenous Peoples Day as a legal holiday for more city employees and as a parking holiday. It also authorized memorandums of understanding with multiple labor unions recognizing both holidays. “Although the city has already established Indigenous Peoples Day as a day of observance and legal holiday for city employees represented by the Coalition [of City Unions], legislation is required to expand this holiday to unrepresented city employees and establish a parking holiday,” said Council President Debora Juarez, who sponsored the legislation and is the first Indigenous president of the council. In the 1970s, The International Conference on Discrimination Against Indigenous Populations in the Americas began to advocate for a celebration of Native Americans on what was then — and is still in some areas — celebrated as Columbus Day. Since then, Indigenous Peoples Day has been observed on the second Monday of October. In 2014, the council passed a resolution — co-sponsored by Councilmember Kshama Sawant and now-Mayor Bruce Harrell “encouraging other ",neutral
